X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.064934001628544,39.827708471887313,17952,Arlington Ave & 39th St,51183,398277009,-860649289
-86.064894401222816,39.824713871298428,17953,Arlington Ave & 38th St,51184,398247063,-860648893
-86.064850100897601,39.820303470483552,17954,Arlington Ave - 3500 N,51187,398202959,-860648450
-86.080304212255228,39.901957184654457,17955,Allisonville Rd & 81st St,52316,399019496,-860802991
-86.079245912151535,39.903721385068813,17956,Allisonville Rd & 82nd St,52317,399037138,-860792408
-86.077760911942178,39.90665298571907,17957,Allisonville Rd & Shopping Center Dr,52318,399066454,-860777558
-86.07258241072968,39.910613386643483,17958,Castleton Corner Dr & 86th St,52319,399106058,-860725773
-86.071415910229049,39.908785686384704,17959,Castleton Corner Dr & 8330 N - CompUSA,52320,399087781,-860714108
-86.068051409240653,39.907491886388648,17960,JC Penney  & Castleton Square,52321,399074843,-860680463
-86.061320007105593,39.906517886509192,17961,Perimeter Rd & Knue Rd - Olive Garden,52322,399065103,-860613149
-86.059411506416922,39.905227586316421,17962,82nd St & Knue Rd,52323,399052200,-860594064
-86.055003705081916,39.90523718655529,17963,82nd St & Castleway Dr,52324,399052296,-860549986
-86.044184801567454,39.900901786299414,17964,Clearvista Way & Clearvista Dr,52325,399008942,-860441797
-86.048918903396057,39.905078286882812,17965,82nd St & Summit Hill Dr,52326,399050707,-860489138
-86.039667000625954,39.904370287237299,17966,Clearvista Pkwy & 82nd St,52327,399043627,-860396619
-86.041226700879164,39.902129686653637,17967,Clearvista Way - Community Hopsital North,52328,399021221,-860412216
-86.043390200438552,39.890618884482777,17968,7129 E 75th St at Shadeland,52329,398906113,-860433851
-86.042205900179184,39.890614884524105,17969,75th St & Shadeland Station Way,52330,398906073,-860422008
-86.042539399924635,39.887509483929563,17970,Shadeland Station Way & Shadeland Station,52331,398875019,-860425343
-86.042531399642002,39.883566383243206,17971,Shadeland Station & 71st St,52332,398835588,-860425263
-86.045832700644794,39.883483583043592,17972,71st St & Shadeland Ave,52333,398834760,-860458276
-86.040114100842231,39.905287887356046,17973,82nd St & Clearvista Pkwy,52334,399052803,-860401090
-86.050358903828084,39.905300486764823,17974,82nd St & Bash St,52335,399052929,-860503538
-86.054675205077572,39.905422386659446,17975,82nd St & Castleway Dr,52336,399054148,-860546701
-86.060282506761922,39.905987686399314,17976,Knue Rd & 82nd St,52338,399059801,-860602774
-86.061320907183244,39.906611386506626,17977,Perimeter Rd & Knue Rd - Sears Store,52339,399066038,-860613158
-86.072595510859685,39.911074686816704,17978,Castleton Corner Dr & 85th St,52340,399110671,-860725904
-86.077984212112256,39.906919085720318,17979,Allisonville Rd & Shopping Center Dr,52341,399069115,-860779791
-86.079227112233994,39.904322585176644,17980,Allisonville Rd & 82nd St,52342,399043150,-860792220
-86.080539712349491,39.901784684618157,17981,Allisonville Rd & Plantation Dr,52371,399017771,-860805346
-86.082253212545766,39.898473084026342,17982,Allisonville Rd & 79th St,52372,398984655,-860822481
-86.084767812905994,39.893435582873522,17983,Allisonville Rd & 77th St,52373,398934280,-860847627
-86.085926613067485,39.891141582404558,17984,Allisonville Rd & 75th St,52374,398911340,-860859215
-86.089197113485213,39.884570181126726,17985,Allisonville Rd & 72nd St,52375,398845626,-860891920
-86.090150913655151,39.882641180705249,17986,Allisonville Rd & 71st St,52376,398826336,-860901458
-86.093741414107015,39.875303679170543,17987,Allisonville Rd & 65th St,52377,398752961,-860937363
-86.096644914446614,39.869574878003874,17988,Allisonville Rd & 62nd St,52378,398695673,-860966398
-86.107663617616524,39.868757377273042,17989,62nd St & Olney St,52379,398687498,-861076585
-86.113100819118912,39.868741376930657,17990,62nd St & Northern Ln,52380,398687338,-861130957
-86.115719719899957,39.868788676822462,17991,62nd St & Oxford St,52381,398687811,-861157146
-86.12299472026146,39.847674672589086,17992,52nd St & Keystone Ave,52382,398476671,-861229896
-86.125266420981262,39.847667672488249,17993,52nd St & Caroline St,52383,398476601,-861252613
-86.127671221629271,39.847662672383919,17994,52nd St & Crittenden Ave,52384,398476551,-861276661
-86.130145222368213,39.847650072197574,17995,52nd St & Kingsley Dr,52386,398476425,-861301401
-86.133581723493691,39.847628872103066,17996,52nd St & Rosslyn Ave,52388,398476213,-861335766
-86.135282323903724,39.847617372037817,17997,52nd St & Luzzane Ln,52389,398476098,-861352772
-86.137570324559505,39.84761807191326,17998,52nd St & Crestview Ave,52391,398476105,-861375652
-86.141615725770237,39.847052371543498,17999,52nd St & Winthrop Ave,52393,398470448,-861416106
-86.144594626655802,39.847018071399496,18000,52nd St & Carrollton Ave,52395,398470105,-861445895
-86.145555426887668,39.847006471323397,18001,52nd St & College Ave,52396,398469989,-861455503
-86.146889927224393,39.846969371294364,18002,52nd St & Broadway St,52397,398469618,-861468848
-86.150098428228574,39.84657167108373,18003,Central Ave & 52nd St,52399,398465641,-861500933
-86.150001527886062,39.842857670333487,18004,Central Ave & 49th St,52402,398428501,-861499964
-86.150033427553225,39.839372569774561,18005,Central Ave & 46th St,52405,398393650,-861500283
-86.149923127251782,39.836037569150427,18006,Central Ave & 44th St,52407,398360300,-861499180
-86.149886926894737,39.832247668448026,18007,Central Ave & 42nd St,52409,398322401,-861498818
-86.149852726671867,39.828725167786068,18008,Central Ave & 40th St,52411,398287176,-861498476
-86.149845226449486,39.826866567475271,18009,Central Ave & 39th St,52412,398268590,-861498401
-86.149832626286894,39.824618167021384,18010,Central Ave & 38th St,52413,398246106,-861498275
-86.149779925976603,39.821959666606354,18011,Central Ave & Powell Pl,52415,398219521,-861497748
-86.149780425924206,39.820331366198637,18012,Central Ave & Central Ct N,52417,398203238,-861497753
-86.149757425635244,39.818024665855177,18013,Central Ave & 34th St,52419,398180171,-861497523
-86.145586926304219,39.839624070048629,18014,46th St & College Ave,52441,398396165,-861455818
-86.071297910304523,39.908796686457144,18015,Castle Corner Dr - 8413 N,52453,399087891,-860712928
-86.20318144924822,39.91124108025187,18016,Township Line Rd & 86th St,52503,399112335,-862031763
-86.203124649221309,39.910500480082909,18017,Township Line Rd & 86th St,52504,399104929,-862031195
-86.20311444896933,39.908826679807049,18018,Township Line Rd & Summer Dr,52505,399088191,-862031093
-86.203124048763257,39.906131679280811,18019,Township Line Rd & Plaza Dr,52506,399061241,-862031189
-86.203118448691356,39.903991678932265,18020,Township Line Rd - 8111 N,52507,399039841,-862031133
-86.202457148499718,39.904007878912253,18021,Saint Vincent Women's Hospital,52508,399040003,-862024520
-86.202995148829459,39.907281179530763,18022,Township Line Rd & Spyglass Dr,52509,399072736,-862029900
-86.20298314892058,39.90823307972348,18023,Township Line Rd & Summer Dr,52510,399082255,-862029780
-86.202934849193497,39.91120068020706,18024,Township Line Rd & 86th St,52511,399111931,-862029297
-86.193597845823689,39.90437307946592,18025,Harcourt Rd & Private Dr,52512,399043655,-861935927
-86.193596945838181,39.903336279292759,18026,Harcourt Rd & Century Way,52513,399033287,-861935918
-86.193598345681878,39.901751678958462,18027,Harcourt Rd & Covey Ln,52514,399017441,-861935932
-86.19358794537608,39.8994712786292,18028,Harcourt Rd - 7950 N,52516,398994637,-861935828
-86.193583845312261,39.898168378370535,18029,Harcourt Rd & Moray Ct E,52517,398981608,-861935787
-86.193556845195616,39.896511277990385,18030,Harcourt Rd & Harcourt Spring Blvd,52518,398965037,-861935517
-86.19351354501292,39.894253977599703,18031,Harcourt Rd & Suffolk Ln,52519,398942464,-861935084
-86.19353344479228,39.891329377109976,18032,Harcourt Rd & 75th Pl,52520,398913218,-861935283
-86.193522944418106,39.888312776502652,18033,Harcourt Rd & 74th St,52521,398883052,-861935178
-86.193512344344597,39.886148876193104,18034,Harcourt Rd & Westlane Rd,52522,398861413,-861935072
-86.188869942793531,39.885245176161,18035,Westlane Rd & Grandview Dr,52523,398852376,-861888648
-86.174516738656749,39.886027177122727,18036,Hoover Rd & 73rd St,52533,398860196,-861745116
-86.174543438522093,39.883821876693951,18037,Hoover Rd & Fairway Dr,52534,398838143,-861745383
-86.174537038397872,39.882115176352421,18038,Hoover Rd & Oakwood Trail,52535,398821076,-861745319
-86.17455793819623,39.879165275793902,18039,Hoover Rd - 6800 N JCC,52536,398791577,-861745528
-86.17456373791083,39.877172075499303,18040,Hoover Rd & Golf Ln,52537,398771645,-861745586
-86.174566037784359,39.874883975085538,18041,Hoover Rd & Lincolnwood Ln,52538,398748764,-861745609
-86.174584237633468,39.873083674679329,18042,Hoover Rd & 64th St,52539,398730761,-861745791
-86.173189337048072,39.871986074617709,18043,64th St & Kennedy Ln,52540,398719785,-861731842
-86.171254236604895,39.872017074671376,18044,64th St - Orchard School,52541,398720095,-861712491
-86.165918635018556,39.872041574947353,18045,64th St & Spring Mill Rd,52542,398720340,-861659135
-86.165068434421102,39.869064674490573,18046,Spring Mill Rd & 63rd St,52543,398690571,-861650633
-86.16355723379624,39.866076873993109,18047,Spring Mill Rd & Sunset Ln,52544,398660693,-861635521
-86.159647732203453,39.86106357325469,18048,Illinois St & 59th St,52545,398610560,-861596426
-86.159620932019465,39.858387872732784,18049,Illinois St & Laverock Rd,52547,398583803,-861596158
-86.159595531779189,39.856521472376748,18050,Illinois St & Private Dr - Riviera Club,52549,398565139,-861595904
-86.159614731639252,39.854861072155423,18051,Illinois St & Westfield Blvd,52550,398548535,-861596096
-86.159567931470136,39.852000271545243,18052,Illinois St - 5500 N,52551,398519927,-861595628
-86.159556431271781,39.850546771270324,18053,Illinois St & 54th St,52552,398505392,-861595513
-86.159500630947136,39.846886270614853,18054,Illinois St & 52nd St,52553,398468787,-861594955
-86.159474630816177,39.844430170138239,18055,Illinois St & 49th St,52554,398444226,-861594695
-86.159449230690356,39.842931169901469,18056,Illinois St & 49th St,52555,398429236,-861594441
-86.159387730109131,39.837689068981646,18057,Illinois St & Blue Ridge Rd,52558,398376815,-861593826
-86.180259432268201,39.788721158973779,17058,16th St & Montcalm St,12004,397887136,-861802543
-86.184012433296004,39.788691458768675,17059,16th St & Indiana Ave,12005,397886839,-861840073
-86.188054934552412,39.789216558672528,17060,16th St & Harding St,12006,397892090,-861880498
-86.190503135233229,39.789257058488317,17061,16th St & Riverside Dr E,12007,397892495,-861904980
-86.194191336284348,39.789330058296841,17062,16th St & Private Dr,12008,397893225,-861941862
-86.200739938195312,39.78809165775607,17063,16th St & Lafayette Rd,12009,397880841,-862007348
