OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,USPS_VACANCY,TAX_DELINQUENT,SURPLUS,REPAIR_ORDER,DEMO_ORDER,IMPROVEMENT,SOURCE,SHAPEAREA,SHAPELEN
3937,1325774,9008322,9008322,2857 S RYBOLT AVE,INDIANAPOLIS,67924,0,1,1,0,0,0,1,MO,5200.20413278341,340.010326194406
3938,1324606,1041511,1041511,2909 DRAPER ST,INDIANAPOLIS,242114,1,1,1,0,0,0,1,MO,5839.78658750279,371.992045546156
3939,1037494,1019064,1019064,921 N DELAWARE ST,INDIANAPOLIS,302709,1,1,1,0,1,0,0,MO,8250.57079097429,410.07776016926
3940,1312521,8022668,8022668,2002 MILLERSVILLE DR,INDIANAPOLIS,238609,0,1,1,0,1,0,1,MO,8257.63838716901,383.592164725597
3941,1007438,1065927,1065927,1424 W 32ND ST,INDIANAPOLIS,78752,0,1,1,0,1,0,1,MO,5074.94258067951,359.999716839235
3942,1275368,9019173,9019173,2815 W 10TH ST,INDIANAPOLIS,54355,1,1,1,0,0,0,1,MO,4875.47097546259,328.049586863265
3943,1004849,1087972,1087972,3327 BROUSE AVE,INDIANAPOLIS,134622,0,1,1,0,1,0,1,MO,6599.98351681792,363.901569832572
3944,1041960,1037225,1037225,521 N EUCLID AVE,INDIANAPOLIS,203750,1,1,1,0,1,0,1,MO,5440.10737163665,352.004457337914
3945,1008930,1054095,1054095,1133 CONGRESS AVE,INDIANAPOLIS,56895,0,1,1,1,0,0,0,MO,5720.34014675201,366.019615735317
3946,1011102,1075534,1075534,2951 N GALE ST,INDIANAPOLIS,122104,0,1,1,0,0,0,1,MO,6937.39549034205,444.993141680432
3947,1246107,8035733,8035733,4532 NORWALDO AVE,INDIANAPOLIS,207800,1,1,1,0,1,0,1,MO,4200.24157819397,340.001954028817
3948,1285080,9022797,9022797,302 S ADDISON ST,INDIANAPOLIS,102441,1,0,1,0,1,0,0,MO,4810.38738716189,345.393655622807
3949,1002436,1046520,1046520,3508 GUILFORD AVE,INDIANAPOLIS,132604,1,1,1,0,1,0,1,MO,5801.54608546975,370.05782631935
3950,1004167,1042033,1042033,3404 N KENWOOD AVE,INDIANAPOLIS,174008,1,1,1,0,0,0,1,MO,10024.2517578887,415.889246989911
3951,1002570,1054658,1054658,3707 E 35TH ST,INDIANAPOLIS,73593,1,1,1,0,0,0,1,MO,7892.45368896558,466.99888635074
3952,1001381,1093540,1093540,3548 N LASALLE ST,INDIANAPOLIS,333222,0,1,1,0,1,0,1,MO,12749.6861212662,610.000341630117
3953,1279468,9030842,9030842,4043 W MICHIGAN ST,INDIANAPOLIS,49519,1,1,1,1,0,0,1,MO,12192.3343026216,470.064323777073
3954,1125161,4017233,4017233,9956 ELLIS DR,INDIANAPOLIS,191818,0,1,1,0,0,0,1,MO,6821.19794053684,344.043407335914
3955,1027416,1045310,1045310,1830 HOLLOWAY AVE,INDIANAPOLIS,84112,1,0,1,1,1,0,1,MO,4934.94290049621,351.986285769503
3956,1012558,1041027,1041027,2900 N SHERMAN DR,INDIANAPOLIS,267308,1,0,1,0,0,0,0,MO,6937.84966540893,445.020064421393
3957,1013962,1008270,1008270,2824 N GALE ST,INDIANAPOLIS,198855,1,1,1,0,0,0,1,MO,6937.47455682371,445.000063393356
3958,1016664,1065806,1065806,1109 ROACHE ST,INDIANAPOLIS,276481,0,1,1,1,0,0,1,MO,4080.39149743137,332.030471102615
3959,1062298,1054460,1054460,1221 S REISNER ST,INDIANAPOLIS,239921,1,1,1,0,0,0,1,MO,5252.46613337802,342.62960112767
3960,1029825,1052443,1052443,1615 BELLEFONTAINE ST,INDIANAPOLIS,95606,0,1,1,0,0,0,1,MO,9161.84366803869,474.157820009276
3961,1286468,9027131,9027131,220 S GIRLS SCHOOL RD,INDIANAPOLIS,314237,0,1,1,0,0,0,1,MO,175890.111570613,2875.91237069745
3962,1199268,7010546,7010546,5626 LOWELL AVE,INDIANAPOLIS,238704,0,1,1,0,0,0,1,MO,5875.94154568782,351.402160981507
3963,1125207,4010492,4010492,4136 N SHERIDAN AVE,INDIANAPOLIS,311477,1,1,1,0,1,0,1,MO,6964.14388523497,344.279478793933
3964,1017717,1022432,1022432,2516 N GALE ST,INDIANAPOLIS,118718,1,1,1,0,0,0,1,MO,6937.2325895826,444.984533570263
3965,1041998,1030124,1030124,519 N BRADLEY AVE,INDIANAPOLIS,293430,0,1,1,0,0,0,1,MO,5128.83382098226,345.991292000728
3966,1022574,1059172,1059172,2212 CARROLLTON AVE,INDIANAPOLIS,114323,0,1,1,0,0,0,1,MO,5187.63026308518,344.036526693742
3967,1012778,1043416,1043416,2864 ADAMS ST,INDIANAPOLIS,29345,0,1,1,1,0,0,0,MO,4699.60358025534,338.533403059679
3968,1005866,1013005,1013005,3302 GRACELAND AVE,INDIANAPOLIS,11728,0,1,1,0,1,0,1,MO,2640.18136354544,212.009434342608
3969,1006130,1060335,1060335,1315 W 34TH ST,INDIANAPOLIS,120233,0,1,1,0,0,0,1,MO,5816.94228571653,402.40077487088
3970,1022113,1049878,1049878,2229 CARROLLTON AVE,INDIANAPOLIS,12563,1,1,1,0,1,0,1,MO,6280.90955553599,394.050655164508
3971,1037095,1041271,1041271,948 N BRADLEY AVE,INDIANAPOLIS,273645,1,1,1,0,1,0,1,MO,5400.49404751016,350.027230291921
3972,1018058,1034095,1034095,2511 N HARDING ST,INDIANAPOLIS,279406,0,1,1,0,1,0,1,MO,4036.53988975324,289.982129473917
3973,1320828,1078159,1078159,1940 WILCOX ST,INDIANAPOLIS,288821,0,1,1,0,0,0,1,MO,5119.97089024091,335.999250632788
3974,1039223,1066957,1066957,835 N GRAY ST,INDIANAPOLIS,14111,1,1,1,0,1,0,1,MO,4540.46085740896,307.02078678336
3975,1008922,1022667,1022667,1107 CONGRESS AVE,INDIANAPOLIS,98739,1,1,1,0,0,0,1,MO,5719.9950646895,366.000123176954
3976,1006152,1075393,1075393,1431 W 34TH ST,INDIANAPOLIS,167605,0,1,1,0,0,0,1,MO,5700.54555842592,395.750346670701
3977,1000085,1089111,1089111,3637 STATION ST,INDIANAPOLIS,81385,1,1,1,0,1,0,1,MO,8760.99781044912,412.021120638706
3978,1024325,1088316,1088316,2054 ADAMS ST,INDIANAPOLIS,342888,1,0,1,0,0,0,1,MO,5599.90891757923,352.971234551666
3979,1008283,1062950,1062950,3105 N COLORADO AVE,INDIANAPOLIS,269994,1,1,1,0,0,0,1,MO,5225.89337025362,345.992768268448
3980,1179885,7004661,7004661,3209 N LAYMAN AVE,INDIANAPOLIS,59871,1,1,1,0,0,0,1,MO,5303.54269834262,345.462828420558
3981,1017042,1050663,1050663,1014 W 26TH ST,INDIANAPOLIS,133321,0,1,1,0,0,0,1,MO,3777.30356344177,311.822993543113
3982,1042905,1074324,1074324,433 N BRADLEY AVE,INDIANAPOLIS,22266,1,0,1,0,0,0,1,MO,5400.10605558411,350.008074128586
3983,1025268,1088666,1088666,2012 GLENRIDGE DR,INDIANAPOLIS,160844,0,1,1,0,1,0,1,MO,5824.73589315072,332.980273749807
3984,1023153,1028501,1028501,11 W 22ND ST,INDIANAPOLIS,211028,1,0,1,0,0,0,0,MO,2399.91603604692,196.46178674589
3985,1251791,8012301,8012301,4008 GRACELAND AVE,INDIANAPOLIS,166997,1,1,1,0,0,0,1,MO,5200.00807387422,340.000460378928
3986,1002030,1024014,1024014,3511 FOREST MANOR AVE,INDIANAPOLIS,122183,0,1,1,0,0,0,1,MO,7050.750706512,382.023162081086
3987,1005827,1059835,1059835,3282 HOVEY ST,INDIANAPOLIS,150797,0,1,1,0,0,0,0,MO,6759.75670897004,418.007200881323
3988,1008463,1004198,1004198,1330 CONGRESS AVE,INDIANAPOLIS,49726,0,1,1,0,1,0,1,MO,5800.127772581,370.009454963072
