OBJECTID,STREETNAME,COUNTY,TOWNSHIP,PHOTOYEAR,CONDITION,SHAPELEN
206,COMMON WAY,MARION,WASHINGTON,2008, ,229.88670555029
207,FALL CREEK PKWY NDR,MARION,LAWRENCE,2008, ,713.682257990309
208,BRENDON WAY NDR,MARION,LAWRENCE,2008, ,728.016116866943
209,SAN CLEMENTE DR,MARION,LAWRENCE,2008, ,260.809363914439
210,SAN CLEMENTE DR,MARION,LAWRENCE,2008, ,386.472381904527
211,WIEBECK CT,MARION,LAWRENCE,2008, ,1085.40609347546
212,BRENDON WAY WDR,MARION,LAWRENCE,2008, ,202.727556153025
213,BRENDON WAY WDR,MARION,LAWRENCE,2008, ,260.207257450194
214,COMMON VISTA CT,MARION,WASHINGTON,2008, ,614.289722904018
215,COMMON WAY,MARION,WASHINGTON,2008, ,204.156413260849
216,COMMON WAY CT,MARION,WASHINGTON,2008, ,317.541355302809
217,COMMON WAY,MARION,WASHINGTON,2008, ,341.459614423978
218,COMMON WAY,MARION,WASHINGTON,2008, ,108.785862163342
219,COMMON VISTA CIR,MARION,WASHINGTON,2008, ,1134.11871992643
220,KESSLER COMMON BLVD,MARION,WASHINGTON,2008, ,217.543879796098
221,KESSLER COMMON BLVD,MARION,WASHINGTON,2008, ,222.489033798952
222,FALL CREEK TRAIL,MARION,LAWRENCE,2008, ,742.93402948555
223,FALL CREEK TRAIL,MARION,LAWRENCE,2008, ,449.585056444262
224,BRENDON WAY WDR,MARION,LAWRENCE,2008, ,402.502506477019
225,BRENDON WAY WDR,MARION,LAWRENCE,2008, ,521.495654875993
226,BRENDON WAY WDR,MARION,LAWRENCE,2008, ,313.652245189957
227,BROWNSTONE DR,MARION,WASHINGTON,2008, ,297.884982997153
228,NA,MARION,WASHINGTON,2008, ,117.060266159193
229,NA,MARION,WASHINGTON,2008, ,763.772936126423
230,NA,MARION,WASHINGTON,2008, ,237.335151376303
231,NA,MARION,WASHINGTON,2008, ,172.572274753924
232,FALL CREEK PKWY NDR,MARION,LAWRENCE,2008, ,2784.78618215177
233,KESSLER BLVD EDR,MARION,LAWRENCE,2008, ,337.171532270084
234,FALL CREEK TRAIL,MARION,LAWRENCE,2008, ,260.244557874368
235,BRENDON WAY WDR,MARION,LAWRENCE,2008, ,152.638802333333
236,BRENDON WAY CT,MARION,LAWRENCE,2008, ,1131.54460627395
237,BRENDON WAY WDR,MARION,LAWRENCE,2008, ,164.922509870845
238,I-465 040 RAMP Q,MARION,LAWRENCE,2008, ,50.6294919166667
239,UNKNOWN,MARION,LAWRENCE,2007, ,731.459615595991
173,CALAIS CIR,MARION,LAWRENCE,2008, ,1462.48773548819
174,CALAIS DR,MARION,LAWRENCE,2008, ,617.436871349112
175,CALAIS DR,MARION,LAWRENCE,2008, ,1141.08809455891
176,CALAIS DR,MARION,LAWRENCE,2008, ,446.612035886195
177,CALAIS CT,MARION,LAWRENCE,2008, ,128.251852871915
178,CALAIS CT,MARION,LAWRENCE,2008, ,128.516415108361
179,MARGAUX LN,MARION,LAWRENCE,2008, ,570.578599404306
240,NA,MARION,WASHINGTON,2008, ,194.212899929271
241,RACQUET CLUB NDR,MARION,WASHINGTON,2008, ,373.024581878405
242,RACQUET CLUB NDR,MARION,WASHINGTON,2008, ,126.527354378875
243,RACQUET CLUB NDR,MARION,WASHINGTON,2008, ,301.894227558891
244,RACQUET CLUB NDR,MARION,WASHINGTON,2008, ,100.727438502197
245,RACQUET CLUB NDR,MARION,WASHINGTON,2008, ,229.444938177344
246,RACQUET CLUB NDR,MARION,WASHINGTON,2008, ,107.269915803195
247,NA,MARION,PIKE,2008, ,277.393923608787
248,GOLDEN OAKS N,MARION,WASHINGTON,2008, ,206.360440843986
249,GOLDEN OAKS N,MARION,WASHINGTON,2008, ,1333.06595591252
250,GOLDEN OAKS E,MARION,WASHINGTON,2008, ,580.783275574132
251,GOLDEN OAKS N,MARION,WASHINGTON,2008, ,224.557016066241
252,NORCROSS CIR,MARION,WASHINGTON,2008, ,495.427462633067
253,CHELSEA VILLAGE DR,MARION,WASHINGTON,2008, ,115.474678992713
254,CHELSEA VILLAGE DR,MARION,WASHINGTON,2008, ,156.507975155177
255,NORCROSS DR,MARION,WASHINGTON,2008, ,164.470215160433
256,NORCROSS DR,MARION,WASHINGTON,2008, ,202.8468723292
257,NORCROSS CT,MARION,WASHINGTON,2008, ,333.051473999642
258,HANDBALL LN,MARION,WASHINGTON,2008, ,261.245362618278
259,HANDBALL LN,MARION,WASHINGTON,2008, ,280.244910822543
260,HANDBALL LN,MARION,WASHINGTON,2008, ,115.385017993029
261,HANDBALL LN,MARION,WASHINGTON,2008, ,194.445100908789
262,HANDBALL LN,MARION,WASHINGTON,2008, ,246.946813558583
263,HANDBALL LN,MARION,WASHINGTON,2008, ,265.905162672641
264,HANDBALL LN,MARION,WASHINGTON,2008, ,348.265734929741
265,HANDBALL LN,MARION,WASHINGTON,2008, ,1094.95307475648
266,HANDBALL LN,MARION,WASHINGTON,2008, ,213.940124130467
267,HANDBALL LN,MARION,WASHINGTON,2008, ,1351.06597305692
268,HARCOURT RD,MARION,WASHINGTON,2008, ,518.121374178203
269,HARCOURT RD,MARION,WASHINGTON,2008, ,936.752562716463
270,HARCOURT RD,MARION,WASHINGTON,2008, ,124.273461246401
271,HARCOURT RD,MARION,WASHINGTON,2008, ,185.070723151343
272,HARCOURT RD,MARION,WASHINGTON,2008, ,193.219695163655
273,HARCOURT RD,MARION,WASHINGTON,2008, ,779.133029191945
274,CANARY LN,MARION,WASHINGTON,2008, ,229.4696507332
275,CANARY CT,MARION,WASHINGTON,2008, ,309.99803195624
276,CANARY LN,MARION,WASHINGTON,2008, ,674.731401682925
277,CANARY CT,MARION,WASHINGTON,2008, ,362.825639264275
278,CANARY LN,MARION,WASHINGTON,2008, ,298.102291467002
279,EGRET LN,MARION,WASHINGTON,2008, ,102.125208637473
280,EGRET CT,MARION,WASHINGTON,2008, ,470.099527199865
281,EGRET LN,MARION,WASHINGTON,2008, ,479.856179592958
