X,Y,OBJECTID,ADDRESS_BLOCK,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_ADDRESS,METER_NUMBER,SPACE_NUMBER,SPACE_TYPE,INSTALL_DATE,HOURLY_RATE,DAILY_RATE,RATE_INCREASE_DATE,ZONE_NAME,OP_HOURS,OP_DAYS,PAY_TYPE
-86.153206899969604,39.771932856567403,66922,300,,MASSACHUSETTS,AVE,,300 MASSACHUSETTS AV,MAS 000349,1324,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.148169095095227,39.775572902901658,66923,600,,MASSACHUSETTS,AVE,,600 MASSACHUSETTS AV,MAS 000627,1903,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.163206948560486,39.773759867310709,66924,400,N,SENATE,AVE,E,400 N SENATE AV,NS  000423,8176,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.152837010665593,39.772200890640669,66925,300,,MASSACHUSETTS,AVE,,300 MASSACHUSETTS AV,MAS 000371,1335,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.148132842181795,39.775771816561551,66926,600,,MASSACHUSETTS,AVE,,600 MASSACHUSETTS AV,MAS 000628,1863,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.148263473405322,39.775508119820863,66927,600,,MASSACHUSETTS,AVE,,600 MASSACHUSETTS AV,MAS 000619,1899,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.161392332972028,39.790097877237379,66928,1700,N,CAPITOL,AVE,E,1700 N CAPITOL AV,NC  001713,3743,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.149046784345401,39.769215372516513,66929,100,N,EAST,ST,W,100 N EAST ST,NE  000110,8039,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.150070012839635,39.774190231088177,66930,500,,MASSACHUSETTS,AVE,,500 MASSACHUSETTS AV,MAS 000509,1804,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.149359705256884,39.76980191811662,66931,400,E,OHIO,ST,N,400 E OHIO ST,EO  000424,2811,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.146738762256078,39.77670387540882,66932,700,,MASSACHUSETTS,AVE,,700 MASSACHUSETTS AV,MAS 000714,2036,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.161338280327968,39.786082119196131,66933,1400,N,CAPITOL,AVE,W,1400 N CAPITOL AV,NC  001410,3825,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.146378482272908,39.776764223891227,66934,700,,MASSACHUSETTS,AVE,,700 MASSACHUSETTS AV,MAS 000715,2077,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.149724134412381,39.77443844232225,66935,500,,MASSACHUSETTS,AVE,,500 MASSACHUSETTS AV,MAS 000531,1815,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.151496910390648,39.773377185108821,66936,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000454,1725,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.147828387638299,39.775970343389147,66937,600,,MASSACHUSETTS,AVE,,600 MASSACHUSETTS AV,MAS 000640,1867,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.16407569243853,39.782160701022171,66938,300,W,011TH,ST,S,300 W 011TH ST,E11TH000315,8583,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.163369496155951,39.773692458891738,66939,400,N,SENATE,AVE,W,400 N SENATE AV,NS  000420,8154,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.161171865640981,39.786982278072891,66940,1400,N,CAPITOL,AVE,E,1400 N CAPITOL AV,NC  001423,3811,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.161165290105671,39.786926721844608,66941,1400,N,CAPITOL,AVE,E,1400 N CAPITOL AV,NC  001419,3809,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.143071757614308,39.779202740205022,66942,800,,MASSACHUSETTS,AVE,,800 MASSACHUSETTS AVE,,2511,MULTI SPACE,2012-04-26T00:00:00.000Z,1.00,19.00,,02,0700-2000,MON-SAT,
